Default Dataset,,Dataset 1,,Dataset 2,,Dataset 3,
X,Y,X,Y,X,Y,X,Y
0.003529369967726126,0.0888043888941028,0.003529369967726126,0.08055678933667965,0.028080695888915097,0.09249208272361331,0.012027905863522315,0.06523659070672627
0.031857822953713366,0.09068664928624903,0.01391646939592145,0.08066412111174204,0.04271706326500846,0.09434157867916193,0.03893993620021019,0.0634865178691304
0.046494190329806784,0.09253614524179676,0.024303568824116772,0.08101888087352682,0.055779627697435885,0.09648972059128713,0.05168774004390442,0.06714596649467763
0.060815797117167,0.0949897119594505,0.034690668252312096,0.08170354461760843,0.06695362859746423,0.098633343270778,0.08190475656229079,0.0672182742168248
0.07411443199114431,0.09759203675131367,0.04507776768050742,0.083048016326285,0.07765548861439275,0.10107824812588273,0.09606898305528444,0.06906664036421484
0.08568188362708912,0.10079504288080576,0.05546486710870274,0.08398010805708944,0.08945901069188739,0.10443302515134079,0.11070535043137786,0.07273060822239552
0.09782264919251221,0.10432343375996078,0.06585196653689807,0.08548953175691354,0.10119508407179645,0.10847886816711183,0.12345315427507209,0.07639005684794276
0.10969361996759258,0.1084992047139659,0.07623906596509339,0.0873288594390349,0.11212177308067722,0.11265237950479978,0.13761738076806573,0.0764239510926994
0.12014816809337359,0.11267158624349527,0.08662616539328871,0.08933313911230467,0.12392529515817186,0.1181240404166628,0.15744729785825679,0.08100758279194142
0.13147954928776845,0.1181421173471997,0.09701326482148398,0.09166732276787126,0.13591767358890644,0.12468483639336947,0.16405727022165378,0.08555957986274398
0.1423387895990636,0.12412993918635484,0.1074003642496793,0.09433141040573512,0.14743791113654126,0.1319702913229701,0.1753886514160487,0.08558669525854912
0.1524560942369162,0.1303751958844952,0.11778746367787463,0.09740787802146933,0.15839157962445632,0.13998017924383488,0.19427428674004016,0.09288977519542341
0.16284319366511146,0.13765793927451542,0.12817456310606995,0.10089672561507568,0.16909343964138485,0.14877573575815495,0.20796637234993398,0.09745871938860429
0.17296049830296406,0.14597687814709293,0.13856166253426527,0.10479795318655283,0.17979529965831337,0.1590833521913364,0.22984223326689085,0.10507136676092177
0.18304782574188966,0.15515977952516824,0.1489487619624606,0.10919403673147476,0.19096930055834166,0.17150898231908185,0.24762620653031614,0.11297663444630412
0.19454408153038288,0.1672837688080433,0.15933586139065592,0.11416745224541724,0.2008842591034372,0.18414760818490805,0.2622625739064095,0.11936231015843468
0.20595977359675993,0.18091962522505356,0.16972296081885124,0.11963572373280451,0.21127135853163254,0.19907705459316838,0.27831536393180234,0.12665861124635835
0.21704196932507436,0.19636915550560108,0.18011006024704657,0.125598851193637,0.22213059884292763,0.217247759207146,0.2905910268923968,0.13213140196637996
0.2262449693956543,0.21090695301902618,0.1904971596752419,0.13246921460578687,0.23204555738802313,0.2363234401561234,0.30286668985299126,0.13760419268640156
0.2377112479852206,0.23089358214612665,0.2008842591034372,0.13983443399138107,0.24229775942104714,0.2594176873239016,0.33856054061533514,0.15238682859451602
0.24841310800214916,0.2539025018977401,0.21127135853163254,0.14794193733714422,0.25140333359511446,0.283546031759085,0.3581071731756663,0.15951004307254912
0.2564395030148455,0.2726712516303107,0.22165845795982786,0.15703915262979784,0.25848544684161123,0.30442940576174404,0.36613356818836273,0.1604364857625611
0.26462327832190846,0.29446449780332307,0.23204555738802313,0.1672910318604912,0.26462327832190846,0.3241008722129972,0.38076993556445615,0.16682216147469253
0.27170539156840523,0.31521826667007957,0.24243265681621845,0.17795529106905494,0.27057225344896574,0.3449210522793211,0.3963505847067491,0.1695811529978739
0.27784322304870246,0.3350193382572355,0.2528197562444138,0.18993916620680706,0.2754825186332036,0.364529098832608,0.4081541067842438,0.16779492629920467
0.2835089136458999,0.3548408808922161,0.26320685567260915,0.20340760926489465,0.2802039274642014,0.3850439294139474,0.4180690653293393,0.17144759607580085
0.2887024633599976,0.3747217761157926,0.2735939551008044,0.21745338429200234,0.28492533629519934,0.4073732318979204,0.4308168691730335,0.16784915709081538
0.2934238721909955,0.3946922651263425,0.2839810545289998,0.23290125124387195,0.2891746042430974,0.4294745955859054,0.4615060265745198,0.16792259462112114
0.29814528102199334,0.4161143316589986,0.29436815395719507,0.2494213061382069,0.29295173130789565,0.45012325194362535,0.4761423939506132,0.16432867486877
0.30286668985299126,0.43735495100139166,0.30475525338539033,0.2668485969838579,0.296728858372694,0.4719059532404912,0.49833301545630315,0.1589383601443224
0.30758809868398906,0.4593213591048375,0.3151423528135857,0.28526559977639954,0.3005059854374923,0.49436908150084435,0.525245045792991,0.15537381540409356
0.3118373666318872,0.48124127560255947,0.325529452241781,0.30384755456009005,0.30428311250229056,0.5184198726760014,0.5332714408056874,0.15539302214278905
0.3156144936966855,0.5016631229724504,0.33591655166997636,0.3226769373305032,0.30758809868398906,0.5395210172012213,0.5436585402338827,0.15360340601964406
0.31939162076148375,0.5232190152814871,0.3463036510981716,0.34092898813189665,0.3104209439825878,0.5591845749953648,0.5578227667268764,0.15000835645913435
0.32316874782628213,0.5465893794931569,0.356690750526367,0.35852123096869626,0.3132537892811865,0.580360192708369,0.5710427114536704,0.14822551918494087
0.3269458748910804,0.571093788643972,0.3670778499545623,0.37454642988958553,0.31608663457978525,0.602745458356462,0.5902431073663951,0.1458521688465444
0.3302508610727789,0.5931021691205085,0.37746494938275765,0.3885097289211188,0.318919479878384,0.6263403719396436,0.6088139821016534,0.146501431934992
